,q_day
1988/4/13,142.38873160288853
1988/4/29,110.67268527828551
1988/5/15,121.6944616849565
1988/11/7,705.4543359102963
1989/4/16,157.03272944375445
1989/5/2,275.0262909837808
1989/5/18,483.3661274054607
1989/6/3,309.9993984768741
1989/8/22,1309.5656344449862
1989/10/25,1175.734417946145
1989/11/10,659.6703735076833
1990/4/19,116.77654031196757
1990/6/22,1040.3495248625638
1990/7/8,523.0643249515932
1990/10/12,467.7121644439168
1991/4/6,65.61696284009035
1991/6/25,534.1328657146605
1991/9/13,905.9673189961132
1991/9/29,941.1962372737182
1991/10/31,544.2613655874236
1992/5/10,265.04382889260387
1992/5/26,197.52996969177548
1992/7/29,1205.6349702616442
1992/8/14,947.6595858186992
1992/10/1,1012.1719250281262
1992/11/18,142.4298700149332
1993/4/27,389.6239964923429
1993/6/14,439.0970920685488
1993/9/2,1309.3381484110182
1993/10/4,631.5293025989952
1993/11/21,77.19711435790566
1993/12/7,76.74153905173394
1994/4/30,454.10080779535
1994/7/3,1283.160892209309
1994/7/19,519.8780233864754
1994/8/4,304.3920076496959
1994/9/5,186.4265989650554
1994/10/23,335.8224584980649
1995/4/17,182.82159822742116
1995/8/7,540.8551793359843
1995/9/24,1118.8992335576747
1995/11/27,138.43847911545757
1996/4/3,116.21618061044695
1996/4/19,88.28038925041628
1997/8/12,191.5596687309508
1997/11/16,73.72060539448839
