,q_day
1988/1/31,101.25555663837456
1988/5/15,500.5768858919153
1988/5/31,837.8220205794704
1988/9/4,490.3578806484393
1988/11/7,1215.705570686751
1988/12/9,180.8232137000092
1989/1/26,234.7262090406705
1989/2/11,185.50873542536823
1989/3/22,187.543406172578
1989/4/16,416.98560297378697
1989/5/2,446.3097644311362
1989/6/3,1393.883833429659
1989/10/25,1358.0500901737364
1989/11/26,167.50544803280718
1990/2/14,593.2117737105742
1990/3/18,1473.514044093204
1990/7/8,1356.0282170665507
1990/10/12,1470.480731179969
1991/1/16,665.6344097390592
1991/4/6,477.3665466558481
1991/4/22,736.1659198366077
1991/5/8,1421.4922474355528
1991/6/25,1608.391138879031
1991/7/11,1626.9677164645009
1991/9/13,1336.9605952335903
1991/9/29,277.1955038278288
1991/10/31,1020.0445212906628
1992/1/3,198.6890510022496
1992/1/19,334.6927101647954
1992/2/20,83.31258903124389
1992/5/26,1546.0950789129604
1992/7/29,510.6740592765772
1992/8/14,1275.7216928384112
1993/5/29,652.6409033013931
1993/6/14,605.3091079912648
1993/6/30,1405.024603515469
1993/7/16,1498.8298463296749
1993/8/1,1608.4190176136606
1993/9/2,1556.6252827464114
1993/11/21,583.0051414640169
1993/12/7,1115.4169596396316
1993/12/23,282.98378415752444
1994/1/8,1027.0075597316095
1994/4/30,1289.7741073557652
1994/6/1,1640.8018036745757
1994/7/3,1215.8252461094537
1994/7/19,1053.8989867811208
1994/8/4,1666.9600345123297
1994/10/23,371.5267761197543
1994/11/8,1000.45341880694
1995/6/4,285.5553641435874
1995/6/20,1376.5322920841884
1995/9/24,1305.3143759361742
1995/10/26,320.3476398770925
1995/11/11,416.3612998185056
1995/11/27,160.96742546500266
1995/12/29,400.9843029832709
1996/6/29,1491.4850367274703
1996/8/16,1399.3189944699016
1996/9/26,313.91829726487737
1996/10/3,190.0854729960864
1996/10/28,197.98824822301788
1996/11/13,135.3731685905611
1996/11/29,292.3013804518761
1996/12/6,476.2142919020463
1996/12/22,172.06964349321845
1997/2/8,162.06889761336652
1997/2/17,131.65310164554117
1997/4/29,329.67521099186496
1997/5/31,633.3551780182216
1997/8/3,1448.3012060538315
1997/8/12,110.13702449989675
1997/8/19,212.7828539385611
1997/8/28,142.62508378379118
1997/10/22,1243.0556109423662
1997/10/31,413.1330654417092
1997/11/7,1220.528793797249
1997/11/23,1031.1537510953178
1997/12/18,341.4785321555807
