,q_day
1988/1/17,435
1988/2/2,323
1988/2/18,298
1989/2/4,535
1989/6/12,732
1989/10/2,1380
1989/10/18,1930
1989/11/19,954
1990/1/6,706
1990/1/22,694
1990/2/7,688
1990/4/12,803
1990/6/15,1490
1990/7/17,1210
1990/8/18,1110
1990/11/6,942
1990/12/8,723
1991/1/25,576
1991/2/10,624
1991/2/26,551
1991/5/17,1100
1991/6/18,932
1991/7/4,1110
1991/8/21,781
1991/9/6,907
1991/10/24,844
1991/11/9,848
1991/12/11,650
1992/5/19,953
1992/6/4,962
1992/8/23,809
1992/9/8,583
1992/10/10,778
1992/11/11,793
1992/11/27,741
1993/2/15,556
1993/6/7,929
1993/7/9,1100
1993/8/26,1420
1993/9/11,1160
1993/10/13,1290
1993/11/14,985
1993/12/16,588
1994/2/2,506
1994/3/6,402
1994/6/10,906
1994/7/28,1120
1994/8/29,1150
1994/11/17,810
1995/1/4,698
1995/3/9,535
1995/3/25,642
1995/5/28,632
1995/6/29,886
1995/7/15,872
1995/8/16,953
1995/9/17,739
1995/11/4,812
1995/11/20,678
1995/12/6,626
1996/2/8,329
1996/4/28,726
1996/5/30,866
1996/7/1,932
1996/7/17,632
1996/9/3,754
1996/11/22,290
1996/12/24,354
1997/1/25,336
1997/2/10,311
1997/3/30,277
1997/5/1,862
1997/6/2,743
1997/7/20,853
1997/10/8,627
1997/11/9,606
