,q_day
1988/5/1,308
1988/5/17,722
1988/6/18,714
1988/8/5,564
1988/9/6,1060
1988/10/8,708
1989/4/18,888
1989/5/20,750
1989/7/7,656
1989/8/8,2160
1989/8/24,2780
1989/10/11,1270
1990/5/7,800
1990/5/23,1270
1990/6/8,1290
1990/7/10,1030
1990/10/14,965
1991/4/8,660
1991/4/24,503
1991/6/27,611
1991/7/13,875
1991/8/30,894
1991/9/15,675
1991/10/17,927
1992/4/26,320
1992/6/29,789
1992/7/15,1010
1992/7/31,1080
1992/8/16,1520
1992/9/1,614
1992/9/17,864
1993/6/16,623
1993/7/2,690
1993/9/4,1150
1993/9/20,1180
1993/10/6,1030
1994/7/21,673
1994/8/22,1360
1994/9/23,1060
1995/6/6,478
1995/6/22,764
1995/9/10,1290
1996/4/21,781
1996/5/7,645
1996/8/11,1570
1996/8/27,991
1996/9/12,664
1996/10/14,855
1997/4/24,275
1997/5/26,824
1997/10/1,754
1997/10/17,652
